dataset_id	accession	model	status	file_count	gene_entries	key_read_notes
rd10_retina_gse183206	GSE183206;SRP335230;PRJNA759613	rd10 retina P21	downloaded	4	51375	GSE183206_aggr_filtered_counts_matrix.h5:h5_gene_entries=51366 detail=matrix/features/name;matrix/features/id | rd10_additional_file_11_cones.xlsx:xlsx_gene_like_entries=408 rows=408 | rd10_additional_file_4_early_rods.xlsx:xlsx_gene_like_entries=232 rows=232 
rd1_retina_gse212183	GSE212183;PRJNA874429	rd1 retina P11/P13/P17	downloaded	1	62535	GSE212183_RAW.tar:tar_gene_entries=62535 members=GSM6513065_C3H-P11_filtered_feature_bc_matrix_features.tsv.gz;GSM6513066_C3H-P13_filtered_feature_bc_matrix_features.tsv.gz;GSM6513067_C3H-P17_filtered_feature_bc_matrix_features.tsv.gz;GSM6513068_rd1-P11_filter
rpgr_organoid_srp535874	SRP535874	RPGR mutant retinal organoid D40/D90/D150/D200	downloaded	3	43998	41597_2024_4124_MOESM2_ESM.xlsx:xlsx_gene_like_entries=8627 rows=8627 | 41597_2024_4124_MOESM3_ESM.xlsx:xlsx_gene_like_entries=42211 rows=42211 | 41597_2024_4124_MOESM4_ESM.xlsx:xlsx_gene_like_entries=12554 rows=12554 | 41597_2024_4124_MOESM2_ESM.xlsx:deg_rows
normal_human_retina_lukowski_zenodo	Lukowski_EMBO_2019;Zenodo_5515631	adult normal human retina scRNA-seq	downloaded	3	21990	"lukowski_embo2019_CCA_metadata.csv:text_gene_like_entries=0 | lukowski_embo2019_cellbc_cellid.csv:text_gene_like_entries=0 | lukowski_embo2019_raw_count_matrix.csv.gz:text_gene_like_entries=21990 | lukowski_celltypes={""amacrine"": 292, ""bipolar"": 2103, ""cone"": "
